"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1600000US0652610","Nubieber CDP, California","69","92","69","92","7","13","0","14","0","14","62","90","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0652624","Nuevo CDP, California","6737","872","2063","479","1468","353","111","159","0","19","8","14","27","40","0","19","449","335","341","314","108","102","4674","788","1171","463","0","19","0","19","0","19","0","19","2073","656","1430","588","1352","571","78","75",
"1600000US0652694","Oakdale city, California","23155","42","15511","873","13349","956","241","208","34","46","274","138","0","25","46","72","1567","447","253","150","1314","418","7644","877","1942","733","0","25","116","92","182","218","0","25","2561","645","2843","743","2275","599","568","341",
"1600000US0652715","Oak Glen CDP, California","387","150","368","150","329","147","25","13","0","14","10","15","0","14","0","14","4","4","0","14","4","4","19","15","4","5","0","14","0","14","0","14","0","14","11","20","4","4","4","4","0","14",
"1600000US0652760","Oak Hills CDP, California","8246","1491","4462","892","3595","665","104","381","48","79","359","272","69","89","0","19","287","182","98","116","189","134","3784","1172","972","564","0","19","32","51","0","19","0","19","1176","536","1604","951","1389","919","215","187",
"1600000US0652764","Oakhurst CDP, California","4956","515","4369","481","4094","505","25","42","0","14","33","38","0","14","20","32","197","169","88","120","109","123","587","201","250","207","0","14","0","14","0","14","0","14","197","165","140","124","93","84","47","73",
"1600000US0653000","Oakland city, California","438072","58","311555","3525","122007","3034","89973","3003","1371","331","67225","2571","1839","520","3257","677","25883","1769","2903","603","22980","1643","126517","3526","11636","1256","2404","528","3929","793","858","258","130","105","82650","3466","24910","2324","19057","2170","5853","857",
"1600000US0653070","Oakley city, California","44311","80","29306","1475","18729","1504","3815","1111","11","18","4114","867","375","308","85","80","2177","431","120","81","2057","422","15005","1475","2816","903","50","59","86","79","40","46","61","103","7514","1095","4438","1187","3864","1164","574","262",
"1600000US0653116","Oak Park CDP, California","13656","1243","12590","1206","9536","1193","44","68","0","21","2462","403","57","88","51","77","440","184","141","111","299","143","1066","401","570","363","13","30","54","67","0","21","0","21","57","70","372","154","348","154","24","28",
"1600000US0653140","Oak Run CDP, California","534","389","292","167","226","125","0","14","1","3","3","8","0","14","0","14","62","86","0","14","62","86","242","341","4","9","0","14","0","14","0","14","0","14","0","14","238","347","238","347","0","14",
"1600000US0653160","Oak Shores CDP, California","153","102","153","102","153","102","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0653182","Oak View CDP, California","5984","762","4359","717","4168","702","4","7","0","19","57","43","0","19","8","12","122","77","10","15","112","76","1625","378","578","288","0","19","110","83","0","19","15","18","414","264","508","237","494","234","14","22",
"1600000US0653196","Oakville CDP, California","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0653224","Oasis CDP, California","4455","544","167","63","37","27","21","54","55","44","36","53","0","14","0","14","18","19","0","14","18","19","4288","548","305","177","0","14","33","37","0","14","0","14","1122","272","2828","522","2762","520","66","79",
"1600000US0653266","Occidental CDP, California","1162","311","1077","288","706","284","15","27","0","14","0","14","50","60","219","88","87","51","70","35","17","21","85","58","46","50","0","14","0","14","0","14","0","14","16","25","23","38","23","38","0","14",
"1600000US0653294","Oceano CDP, California","7098","948","4066","654","3660","657","73","91","0","19","56","49","0","19","0","19","277","124","87","82","190","118","3032","657","997","419","0","19","32","44","0","19","0","19","1057","570","946","503","829","480","117","90",
